source,split,label,relative_path,filename,base_id,sha256
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_111445_P6_L0.png,H0_111445_P6_L0.png,H0_111445,e7906329b2c832db48b58827f4a1af486553f57469595fe79e079d6fed35ab39
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_116004_P5_L0.png,H0_116004_P5_L0.png,H0_116004,2c12787524d990fd28caa99a98e51fe92481a8d3582ba998e9f7270ffebf0aae
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_117679_P3_L0.png,H0_117679_P3_L0.png,H0_117679,30a460092df22e0beb056e1cc6387a9e87b5cdb3e5c605c4487c9eba8ee8a1f1
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_118861_P1_L0.png,H0_118861_P1_L0.png,H0_118861,5bfdef7f6ddc35ee6deb04129e82df92b2587600896222f9d3b66210bed98bfc
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_118862_P2_L0.png,H0_118862_P2_L0.png,H0_118862,f3e89701fb1a77e36b64a3c21cf70c94130bc312cff6ba002c2a3c4e552f194e
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_118950_P1_L0.png,H0_118950_P1_L0.png,H0_118950,d9c28f2cda96b51128a80b5be3f38a47ad692f379353d575d116b3432d717d7d
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_118997_P5_L0.png,H0_118997_P5_L0.png,H0_118997,1dfe4e98fd1c4b4bbe3e997b22dd1a1c26cd8b4da97396ea265c4876876d6101
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_119362_P2_L0.png,H0_119362_P2_L0.png,H0_119362,4c73c2f988c20a084f4163c580bad13077b9bea589b059cd7e3ce520e7b55857
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_119852_P2_L0.png,H0_119852_P2_L0.png,H0_119852,a7716177c48fc9025d470db3a2b8ae6a2f6a91acd94132b112bb8e76963ea608
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_119855_P1_L0.png,H0_119855_P1_L0.png,H0_119855,810be49e6775d224b63f647d95a913130d3f832397b0aa465383b6ee9bb1b883
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_139522_P1_L0.png,H0_139522_P1_L0.png,H0_139522,c28d48f628752ab4ea2ad25d65368e0e09e00a10a448e2790f2b97c776a0c91e
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_139714_P1_L0.png,H0_139714_P1_L0.png,H0_139714,647abd4e2a8929c478b44414ddfd98fe33cb349d059c59679ec4ebcd87aef46e
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_139993_P3_L1.png,H0_139993_P3_L1.png,H0_139993,88e0f4311c4f10aed12ac92727b5b3de98b59affb880ff9c24ad800227801e72
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_140095_P3_L1.png,H0_140095_P3_L1.png,H0_140095,c2673bdcf23f5e800f47762968f27a1c8c9352c91a807ee713a4ebe3ead397a6
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_141270_P4_L0.png,H0_141270_P4_L0.png,H0_141270,e99b43b09cf69b8794e77c709724f4e0db8dc8658f845747ec3e859f52950a30
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_14535_P13_L0.png,H0_14535_P13_L0.png,H0_14535,92605202edbd8056009847187c2f42e954b3966a5ee633906724a8fbf7ff4a0b
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_158603_P6_L0.png,H0_158603_P6_L0.png,H0_158603,e4bd239acc5284b29e6260237603a54073630e9a483704da2ff2896550cd767c
aihub,train,1,Training/01.원천데이터/TS_아토피_정면/H0_178131_P1_L0.png,H0_178131_P1_L0.png,H0_178131,25977ebb5829454111968402c1ee50698f3a182be2f48a4174bc562fda85c1bb
